primary_key,name
DB00248,Cabergoline
DB00252,Phenytoin
DB00253,Medrysone
DB00255,Diethylstilbestrol
DB00257,Clotrimazole
DB00261,Anagrelide
DB00262,Carmustine
DB00264,Metoprolol
DB00266,Dicoumarol
DB00268,Ropinirole
DB00269,Chlorotrianisene
DB00270,Isradipine
DB00272,Betazole
DB00273,Topiramate
DB00275,Olmesartan
DB00276,Amsacrine
DB00277,Theophylline
DB00278,Argatroban
DB00279,Liothyronine
DB00280,Disopyramide
DB00281,Lidocaine
DB00282,Pamidronic acid
DB00283,Clemastine
DB00284,Acarbose
DB00285,Venlafaxine
DB00286,Conjugated estrogens
DB00287,Travoprost
DB00288,Amcinonide
DB00289,Atomoxetine
DB00290,Bleomycin
DB00292,Etomidate
DB00293,Raltitrexed
DB00294,Etonogestrel
DB00295,Morphine
DB00296,Ropivacaine
DB00297,Bupivacaine
DB00298,Dapiprazole
DB00302,Tranexamic acid
DB00304,Desogestrel
DB00306,Talbutal
DB00307,Bexarotene
DB00308,Ibutilide
DB00309,Vindesine
DB00310,Chlorthalidone
DB00311,Ethoxzolamide
DB00312,Pentobarbital
DB00313,Valproic acid
DB00315,Zolmitriptan
DB00316,Acetaminophen
DB00317,Gefitinib
DB00318,Codeine
DB00320,Dihydroergotamine
DB00321,Amitriptyline
DB00322,Floxuridine
DB00323,Tolcapone
DB00324,Fluorometholone
DB00325,Nitroprusside
DB00327,Hydromorphone
DB00328,Indomethacin
DB00331,Metformin
DB00332,Ipratropium
DB00333,Methadone
DB00334,Olanzapine
DB00335,Atenolol
DB00337,Pimecrolimus
DB00338,Omeprazole
DB00340,Metixene
DB00341,Cetirizine
DB00342,Terfenadine
DB00343,Diltiazem
DB00344,Protriptyline
DB00346,Alfuzosin
DB00347,Trimethadione
DB00348,Nitisinone
DB00349,Clobazam
DB00350,Minoxidil
DB00351,Megestrol acetate
DB00353,Methylergometrine
DB00354,Buclizine
DB00356,Chlorzoxazone
DB00357,Aminoglutethimide
DB00358,Mefloquine
DB00360,Sapropterin
DB00361,Vinorelbine
DB00363,Clozapine
DB00364,Sucralfate
DB00366,Doxylamine
DB00367,Levonorgestrel
DB00368,Norepinephrine
DB00370,Mirtazapine
DB00371,Meprobamate
DB00372,Thiethylperazine
DB00373,Timolol
DB00374,Treprostinil
DB00376,Trihexyphenidyl
DB00377,Palonosetron
DB00378,Dydrogesterone
DB00379,Mexiletine
DB00380,Dexrazoxane
DB00381,Amlodipine
DB00382,Tacrine
DB00383,Oxyphencyclimine
DB00384,Triamterene
DB00385,Valrubicin
DB00387,Procyclidine
DB00388,Phenylephrine
DB00389,Carbimazole
DB00390,Digoxin
DB00391,Sulpiride
DB00392,Profenamine
DB00393,Nimodipine
DB00394,Beclomethasone dipropionate
DB00395,Carisoprodol
DB00396,Progesterone
DB00397,Phenylpropanolamine
DB00398,Sorafenib
DB00399,Zoledronic acid
DB00400,Griseofulvin
DB00401,Nisoldipine
DB00402,Eszopiclone
DB00403,Ceruletide
DB00404,Alprazolam
DB00405,Dexbrompheniramine
DB00407,Ardeparin
DB00408,Loxapine
DB00409,Remoxipride
DB00411,Carbamoylcholine
DB00412,Rosiglitazone
DB00413,Pramipexole
DB00414,Acetohexamide
DB00415,Ampicillin
DB00416,Metocurine iodide
DB00417,Phenoxymethylpenicillin
DB00418,Secobarbital
DB00419,Miglustat
DB00420,Promazine
DB00421,Spironolactone
DB00422,Methylphenidate
DB00423,Methocarbamol
DB00424,Hyoscyamine
DB00425,Zolpidem
DB00427,Triprolidine
DB00428,Streptozocin
DB00429,Carboprost tromethamine
DB00431,Lindane
DB00432,Trifluridine
DB00433,Prochlorperazine
DB00434,Cyproheptadine
DB00435,Nitric Oxide
DB00436,Bendroflumethiazide
DB00437,Allopurinol
DB00439,Cerivastatin
DB00441,Gemcitabine
DB00443,Betamethasone
DB00444,Teniposide
DB00445,Epirubicin
DB00446,Chloramphenicol
DB00448,Lansoprazole
DB00449,Dipivefrin
DB00450,Droperidol
DB00451,Levothyroxine
DB00452,Framycetin
DB00454,Meperidine
DB00455,Loratadine
DB00457,Prazosin
DB00458,Imipramine
DB00459,Acitretin
DB00461,Nabumetone
DB00462,Methscopolamine bromide
DB00463,Metharbital
DB00464,Sodium tetradecyl sulfate
DB00465,Ketorolac
DB00466,Picrotoxin
DB00467,Enoxacin
DB00468,Quinine
DB00469,Tenoxicam
DB00470,Dronabinol
DB00471,Montelukast
DB00472,Fluoxetine
DB00473,Hexylcaine
DB00474,Methohexital
DB00475,Chlordiazepoxide
DB00476,Duloxetine
DB00477,Chlorpromazine
DB00480,Lenalidomide
DB00481,Raloxifene
DB00482,Celecoxib
DB00483,Gallamine triethiodide
DB00484,Brimonidine
DB00486,Nabilone
DB00487,Pefloxacin
DB00489,Sotalol
DB00490,Buspirone
DB00491,Miglitol
DB00492,Fosinopril
DB00493,Cefotaxime
DB00494,Entacapone
DB00495,Zidovudine
DB00496,Darifenacin
DB00497,Oxycodone
DB00498,Phenindione
DB00499,Flutamide
DB00500,Tolmetin
DB00501,Cimetidine
DB00502,Haloperidol
DB00503,Ritonavir
DB00504,Levallorphan
DB00505,Tridihexethyl
DB00508,Triflupromazine
DB00509,Dextrothyroxine
DB00511,Acetyldigitoxin
DB00513,Aminocaproic acid
DB00514,Dextromethorphan
DB00515,Cisplatin
DB00517,Anisotropine methylbromide
DB00518,Albendazole
DB00519,Trandolapril
DB00521,Carteolol
DB00522,Bentiromide
DB00523,Alitretinoin
DB00524,Metolazone
DB00527,Cinchocaine
DB00528,Lercanidipine
DB00530,Erlotinib
DB00531,Cyclophosphamide
DB00532,Mephenytoin
DB00533,Rofecoxib
DB00534,Chlormerodrin
DB00535,Cefdinir
DB00536,Guanidine
DB00537,Ciprofloxacin
DB00539,Toremifene
DB00540,Nortriptyline
DB00541,Vincristine
DB00542,Benazepril
DB00543,Amoxapine
DB00544,Fluorouracil
DB00545,Pyridostigmine
DB00546,Adinazolam
DB00547,Desoximetasone
DB00548,Azelaic acid
DB00549,Zafirlukast
DB00550,Propylthiouracil
DB00551,Acetohydroxamic acid
DB00552,Pentostatin
DB00554,Piroxicam
DB00555,Lamotrigine
DB00557,Hydroxyzine
DB00558,Zanamivir
DB00559,Bosentan
DB00561,Doxapram
DB00562,Benzthiazide
DB00563,Methotrexate
DB00564,Carbamazepine
DB00565,Cisatracurium
DB00568,Cinnarizine
DB00569,Fondaparinux
DB00570,Vinblastine
DB00571,Propranolol
DB00572,Atropine
DB00573,Fenoprofen
DB00574,Fenfluramine
DB00575,Clonidine
DB00579,Mazindol
DB00580,Valdecoxib
DB00583,Levocarnitine
DB00584,Enalapril
DB00585,Nizatidine
DB00586,Diclofenac
DB00587,Cinalukast
DB00588,Fluticasone propionate
DB00589,Lisuride
DB00590,Doxazosin
DB00591,Fluocinolone acetonide
DB00592,Piperazine
DB00593,Ethosuximide
DB00594,Amiloride
DB00596,Ulobetasol
DB00598,Labetalol
DB00599,Thiopental
DB00600,Monobenzone
DB00602,Ivermectin
DB00603,Medroxyprogesterone acetate
DB00604,Cisapride
DB00605,Sulindac
DB00606,Cyclothiazide
DB00608,Chloroquine
DB00610,Metaraminol
DB00611,Butorphanol
DB00612,Bisoprolol
DB00613,Amodiaquine
DB00615,Rifabutin
DB00616,Candoxatril
DB00617,Paramethadione
DB00618,Demeclocycline
DB00619,Imatinib
DB00620,Triamcinolone
DB00621,Oxandrolone
DB00622,Nicardipine
DB00623,Fluphenazine
DB00624,Testosterone
DB00626,Bacitracin
DB00627,Niacin
DB00628,Clorazepic acid
DB00629,Guanabenz
DB00630,Alendronic acid
DB00631,Clofarabine
DB00633,Dexmedetomidine
DB00635,Prednisone
DB00636,Clofibrate
DB00637,Astemizole
DB00640,Adenosine
DB00641,Simvastatin
DB00642,Pemetrexed
DB00643,Mebendazole
DB00644,Gonadorelin
DB00645,Dyclonine
DB00647,Dextropropoxyphene
DB00648,Mitotane
DB00651,Dyphylline
DB00652,Pentazocine
DB00653,Magnesium sulfate
DB00654,Latanoprost
DB00655,Estrone
DB00656,Trazodone
DB00657,Mecamylamine
DB00659,Acamprosate
DB00661,Verapamil
DB00663,Flumethasone
DB00665,Nilutamide
DB00666,Nafarelin
DB00668,Epinephrine
DB00669,Sumatriptan
DB00670,Pirenzepine
DB00672,Chlorpropamide
DB00673,Aprepitant
DB00674,Galantamine
DB00675,Tamoxifen
DB00677,Isoflurophate
DB00678,Losartan
DB00679,Thioridazine
DB00680,Moricizine
DB00682,Warfarin
DB00683,Midazolam
DB00685,Trovafloxacin
DB00686,Pentosan polysulfate
DB00687,Fludrocortisone
DB00688,Mycophenolate mofetil
DB00690,Flurazepam
DB00691,Moexipril
DB00692,Phentolamine
DB00693,Fluorescein
DB00694,Daunorubicin
DB00695,Furosemide
DB00696,Ergotamine
DB00697,Tizanidine
DB00699,Nicergoline
DB00700,Eplerenone
DB00703,Methazolamide
DB00704,Naltrexone
DB00706,Tamsulosin
DB00707,Porfimer sodium
DB00708,Sufentanil
DB00710,Ibandronate
DB00711,Diethylcarbamazine
DB00712,Flurbiprofen
DB00713,Oxacillin
DB00714,Apomorphine
DB00715,Paroxetine
DB00716,Nedocromil
DB00717,Norethisterone
DB00719,Azatadine
DB00720,Clodronic acid
DB00721,Procaine
DB00722,Lisinopril
DB00723,Methoxamine
DB00724,Imiquimod
DB00725,Homatropine methylbromide
DB00726,Trimipramine
DB00727,Nitroglycerin
DB00728,Rocuronium
DB00731,Nateglinide
DB00732,Atracurium besylate
DB00733,Pralidoxime
DB00734,Risperidone
DB00735,Naftifine
DB00736,Esomeprazole
DB00737,Meclizine
DB00738,Pentamidine
DB00740,Riluzole
DB00741,Hydrocortisone
DB00744,Zileuton
DB00745,Modafinil
DB00746,Deferoxamine
DB00747,Scopolamine
DB00748,Carbinoxamine
DB00749,Etodolac
DB00750,Prilocaine
DB00751,Epinastine
DB00752,Tranylcypromine
DB00753,Isoflurane
DB00754,Ethotoin
DB00755,Tretinoin
DB00756,Hexachlorophene
DB00757,Dolasetron
DB00758,Clopidogrel
DB00759,Tetracycline
DB00761,Potassium chloride
DB00762,Irinotecan
DB00763,Methimazole
DB00764,Mometasone
DB00765,Metyrosine
DB00767,Benzquinamide
DB00768,Olopatadine
DB00769,Hydrocortamate
DB00770,Alprostadil
DB00771,Clidinium
DB00772,Malathion
DB00773,Etoposide
DB00774,Hydroflumethiazide
DB00775,Tirofiban
DB00776,Oxcarbazepine
DB00777,Propiomazine
DB00778,Roxithromycin
DB00780,Phenelzine
DB00782,Propantheline
DB00783,Estradiol
DB00784,Mefenamic acid
DB00785,Cryptenamine
DB00786,Marimastat
DB00788,Naproxen
DB00789,Gadopentetic acid
DB00790,Perindopril
DB00792,Tripelennamine
DB00794,Primidone
DB00795,Sulfasalazine
DB00796,Candesartan cilexetil
DB00797,Tolazoline
DB00798,Gentamicin
DB00799,Tazarotene
DB00800,Fenoldopam
DB00801,Halazepam
DB00802,Alfentanil
DB00804,Dicyclomine
DB00805,Minaprine
DB00806,Pentoxifylline
DB00807,Proparacaine
DB00808,Indapamide
DB00809,Tropicamide
DB00810,Biperiden
DB00811,Ribavirin
DB00812,Phenylbutazone
DB00813,Fentanyl
DB00814,Meloxicam
DB00816,Orciprenaline
DB00818,Propofol
DB00819,Acetazolamide
DB00820,Tadalafil
DB00821,Carprofen
DB00822,Disulfiram
DB00823,Ethynodiol diacetate
DB00824,Enprofylline
DB00825,Levomenthol
DB00829,Diazepam
DB00830,Phenmetrazine
DB00831,Trifluoperazine
DB00834,Mifepristone
DB00835,Brompheniramine
DB00836,Loperamide
DB00837,Progabide
DB00838,Clocortolone
DB00839,Tolazamide
DB00841,Dobutamine
DB00842,Oxazepam
DB00843,Donepezil
DB00844,Nalbuphine
DB00845,Clofazimine
DB00846,Flurandrenolide
DB00847,Cysteamine
DB00848,Levamisole
DB00849,Methylphenobarbital
DB00850,Perphenazine
DB00851,Dacarbazine
DB00852,Pseudoephedrine
DB00854,Levorphanol
DB00855,Aminolevulinic acid
DB00857,Terbinafine
DB00858,Drostanolone
DB00860,Prednisolone
DB00861,Diflunisal
DB00862,Vardenafil
DB00863,Ranitidine
DB00864,Tacrolimus
DB00865,Benzphetamine
DB00866,Alprenolol
DB00867,Ritodrine
DB00868,Benzonatate
DB00869,Dorzolamide
DB00870,Suprofen
DB00871,Terbutaline
DB00872,Conivaptan
DB00874,Guaifenesin
DB00875,Flupentixol
DB00876,Eprosartan
DB00877,Sirolimus
DB00880,Chlorothiazide
DB00881,Quinapril
DB00882,Clomifene
DB00883,Isosorbide dinitrate
DB00884,Risedronic acid
DB00886,Omapatrilat
DB00887,Bumetanide
DB00889,Granisetron
DB00890,Dienestrol
DB00892,Oxybuprocaine
DB00893,Iron Dextran
DB00894,Testolactone
DB00895,Benzylpenicilloyl polylysine
DB00896,Rimexolone
DB00897,Triazolam
DB00898,Ethanol
DB00899,Remifentanil
DB00900,Didanosine
DB00901,Bitolterol
DB00902,Methdilazine
DB00903,Etacrynic acid
DB00904,Ondansetron
DB00905,Bimatoprost
DB00906,Tiagabine
DB00907,Cocaine
DB00908,Quinidine
DB00909,Zonisamide
DB00910,Paricalcitol
DB00912,Repaglinide
DB00913,Anileridine
DB00914,Phenformin
DB00915,Amantadine
DB00917,Dinoprostone
DB00918,Almotriptan
DB00920,Ketotifen
DB00921,Buprenorphine
DB00922,Levosimendan
DB00924,Cyclobenzaprine
DB00925,Phenoxybenzamine
DB00926,Etretinate
DB00927,Famotidine
DB00928,Azacitidine
DB00929,Misoprostol
DB00933,Mesoridazine
DB00934,Maprotiline
DB00935,Oxymetazoline
DB00936,Salicylic acid
DB00937,Diethylpropion
DB00938,Salmeterol
DB00939,Meclofenamic acid
DB00940,Methantheline
DB00941,Hexafluronium
DB00942,Cycrimine
DB00944,Demecarium
DB00945,Acetylsalicylic acid
DB00946,Phenprocoumon
DB00947,Fulvestrant
DB00949,Felbamate
DB00950,Fexofenadine
DB00951,Isoniazid
DB00952,Naratriptan
DB00953,Rizatriptan
DB00956,Hydrocodone
DB00957,Norgestimate
DB00959,Methylprednisolone
DB00960,Pindolol
DB00961,Mepivacaine
DB00962,Zaleplon
DB00963,Bromfenac
DB00964,Apraclonidine
DB00966,Telmisartan
DB00967,Desloratadine
DB00968,Methyldopa
DB00969,Alosetron
DB00970,Dactinomycin
DB00972,Azelastine
DB00973,Ezetimibe
DB00975,Dipyridamole
DB00977,Ethinylestradiol
DB00978,Lomefloxacin
DB00979,Cyclopentolate
DB00980,Ramelteon
DB00981,Physostigmine
DB00982,Isotretinoin
DB00983,Formoterol
DB00984,Nandrolone phenpropionate
DB00985,Dimenhydrinate
DB00986,Glycopyrronium
DB00987,Cytarabine
DB00988,Dopamine
DB00989,Rivastigmine
DB00990,Exemestane
DB00991,Oxaprozin
DB00993,Azathioprine
DB00994,Neomycin
DB00995,Auranofin
DB00996,Gabapentin
DB00997,Doxorubicin
DB00998,Frovatriptan
DB00999,Hydrochlorothiazide
DB01001,Salbutamol
DB01002,Levobupivacaine
DB01003,Cromoglicic acid
DB01005,Hydroxyurea
DB01006,Letrozole
DB01007,Tioconazole
DB01009,Ketoprofen
DB01010,Edrophonium
DB01011,Metyrapone
DB01012,Cinacalcet
DB01013,Clobetasol propionate
DB01014,Balsalazide
DB01016,Glyburide
DB01017,Minocycline
DB01018,Guanfacine
DB01019,Bethanechol
DB01020,Isosorbide mononitrate
DB01021,Trichlormethiazide
DB01022,Phylloquinone
DB01023,Felodipine
DB01024,Mycophenolic acid
DB01025,Amlexanox
DB01026,Ketoconazole
DB01028,Methoxyflurane
DB01029,Irbesartan
DB01030,Topotecan
DB01031,Ethinamate
DB01032,Probenecid
DB01033,Mercaptopurine
DB01034,Cerulenin
DB01035,Procainamide
DB01036,Tolterodine
DB01037,Selegiline
DB01038,Carphenazine
DB01039,Fenofibrate
DB01041,Thalidomide
DB01043,Memantine
DB01045,Rifampicin
DB01046,Lubiprostone
DB01047,Fluocinonide
DB01048,Abacavir
DB01049,Ergoloid mesylate
DB01050,Ibuprofen
DB01053,Benzylpenicillin
DB01054,Nitrendipine
DB01055,Mimosine
DB01056,Tocainide
DB01057,Echothiophate
DB01059,Norfloxacin
DB01062,Oxybutynin
DB01063,Acetophenazine
DB01064,Isoprenaline
DB01065,Melatonin
DB01067,Glipizide
DB01068,Clonazepam
DB01069,Promethazine
DB01070,Dihydrotachysterol
DB01071,Mequitazine
DB01073,Fludarabine
DB01074,Perhexiline
DB01075,Diphenhydramine
DB01076,Atorvastatin
DB01077,Etidronic acid
DB01078,Deslanoside
DB01079,Tegaserod
DB01080,Vigabatrin
DB01081,Diphenoxylate
DB01082,Streptomycin
DB01083,Orlistat
DB01084,Emedastine
DB01085,Pilocarpine
DB01086,Benzocaine
DB01087,Primaquine
DB01088,Iloprost
DB01089,Deserpidine
DB01090,Pentolinium
DB01091,Butenafine
DB01092,Ouabain
DB01094,Hesperetin
DB01095,Fluvastatin
DB01097,Leflunomide
DB01098,Rosuvastatin
DB01099,Flucytosine
DB01100,Pimozide
DB01101,Capecitabine
DB01102,Arbutamine
DB01103,Quinacrine
DB01104,Sertraline
DB01105,Sibutramine
DB01106,Levocabastine
DB01107,Methyprylon
DB01108,Trilostane
DB01109,Heparin
DB01110,Miconazole
DB01113,Papaverine
DB01114,Chlorpheniramine
DB01115,Nifedipine
DB01116,Trimethaphan
DB01117,Atovaquone
DB01118,Amiodarone
DB01119,Diazoxide
DB01120,Gliclazide
DB01121,Phenacemide
DB01122,Ambenonium
DB01123,Proflavine
DB01124,Tolbutamide
DB01125,Anisindione
DB01126,Dutasteride
DB01127,Econazole
DB01128,Bicalutamide
DB01129,Rabeprazole
DB01130,Prednicarbate
DB01131,Proguanil
DB01132,Pioglitazone
DB01133,Tiludronic acid
DB01134,Desoxycorticosterone pivalate
DB01135,Doxacurium
DB01136,Carvedilol
DB01138,Sulfinpyrazone
DB01142,Doxepin
DB01143,Amifostine
DB01144,Diclofenamide
DB01146,Diphenylpyraline
DB01148,Flavoxate
DB01149,Nefazodone
DB01151,Desipramine
DB01154,Thiamylal
DB01156,Bupropion
DB01157,Trimetrexate
DB01158,Bretylium
DB01159,Halothane
DB01160,Dinoprost tromethamine
DB01161,Chloroprocaine
DB01162,Terazosin
DB01164,Calcium chloride
DB01165,Ofloxacin
DB01166,Cilostazol
DB01167,Itraconazole
DB01168,Procarbazine
DB01169,Arsenic trioxide
DB01170,Guanethidine
DB01171,Moclobemide
DB01173,Orphenadrine
DB01174,Phenobarbital
DB01175,Escitalopram
DB01176,Cyclizine
DB01177,Idarubicin
DB01178,Chlormezanone
DB01179,Podofilox
DB01180,Rescinnamine
DB01181,Ifosfamide
DB01182,Propafenone
DB01183,Naloxone
DB01184,Domperidone
DB01185,Fluoxymesterone
DB01186,Pergolide
DB01188,Ciclopirox
DB01189,Desflurane
DB01191,Dexfenfluramine
DB01192,Oxymorphone
DB01193,Acebutolol
DB01194,Brinzolamide
DB01195,Flecainide
DB01196,Estramustine
DB01197,Captopril
DB01198,Zopiclone
DB01199,Tubocurarine
DB01200,Bromocriptine
DB01202,Levetiracetam
DB01203,Nadolol
DB01204,Mitoxantrone
DB01205,Flumazenil
DB01206,Lomustine
DB01207,Ridogrel
DB01208,Sparfloxacin
DB01209,Dezocine
DB01210,Levobunolol
DB01211,Clarithromycin
DB01212,Ceftriaxone
DB01213,Fomepizole
DB01214,Metipranolol
DB01215,Estazolam
DB01216,Finasteride
DB01217,Anastrozole
DB01218,Halofantrine
DB01219,Dantrolene
DB01220,Rifaximin
DB01221,Ketamine
DB01222,Budesonide
DB01223,Aminophylline
DB01224,Quetiapine
DB01225,Enoxaparin
DB01226,Mivacurium
DB01227,Levacetylmethadol
DB01228,Encainide
DB01229,Paclitaxel
DB01231,Diphenidol
DB01233,Metoclopramide
DB01234,Dexamethasone
DB01235,Levodopa
DB01236,Sevoflurane
DB01237,Bromodiphenhydramine
DB01238,Aripiprazole
DB01239,Chlorprothixene
DB01240,Epoprostenol
DB01241,Gemfibrozil
DB01242,Clomipramine
DB01244,Bepridil
DB01245,Decamethonium
DB01246,Alimemazine
DB01247,Isocarboxazid
DB01248,Docetaxel
DB01250,Olsalazine
DB01251,Gliquidone
DB01252,Mitiglinide
DB01253,Ergometrine
DB01254,Dasatinib
DB01255,Lisdexamfetamine
DB01257,Eculizumab
DB01259,Lapatinib
DB01260,Desonide
DB01261,Sitagliptin
DB01262,Decitabine
DB01267,Paliperidone
DB01268,Sunitinib
DB01269,Panitumumab
DB01270,Ranibizumab
DB01271,Idursulfase
DB01272,Alglucosidase alfa
DB01273,Varenicline
DB01274,Arformoterol
DB01275,Hydralazine
DB01276,Exenatide
DB01277,Mecasermin
DB01278,Pramlintide
DB01279,Galsulfase
DB01280,Nelarabine
DB01281,Abatacept
DB01282,Carbetocin
DB01283,Lumiracoxib
DB01284,Tetracosactide
DB01285,Corticotropin
DB01288,Fenoterol
DB01289,Glisoxepide
DB01291,Pirbuterol
DB01295,Bevantolol
DB01296,Glucosamine
DB01297,Practolol
DB01303,Oxtriphylline
DB01306,Insulin aspart
DB01307,Insulin detemir
DB01309,Insulin glulisine
DB01320,Fosphenytoin
DB01324,Polythiazide
DB01325,Quinethazone
DB01327,Cefazolin
DB01336,Metocurine
DB01337,Pancuronium
DB01338,Pipecuronium
DB01339,Vecuronium
DB01340,Cilazapril
DB01341,Dihydroquinidine barbiturate
DB01342,Forasartan
DB01345,Potassium cation
DB01346,Quinidine barbiturate
DB01347,Saprisartan
DB01348,Spirapril
DB01349,Tasosartan
DB01351,Amobarbital
DB01352,Aprobarbital
DB01353,Butobarbital
DB01354,Heptabarbital
DB01355,Hexobarbital
DB01356,Lithium cation
DB01357,Mestranol
DB01359,Penbutolol
DB01363,Ephedra sinica root
DB01364,Ephedrine
DB01365,Mephentermine
DB01366,Procaterol
DB01367,Rasagiline
DB01370,Aluminium
DB01373,Calcium
DB01375,Aluminium monostearate
DB01378,Magnesium cation
DB01380,Cortisone acetate
DB01381,Ginkgo biloba
DB01382,Glymidine
DB01384,Paramethasone
DB01388,Mibefradil
DB01392,Yohimbine
DB01393,Bezafibrate
DB01394,Colchicine
DB01395,Drospirenone
DB01396,Digitoxin
DB01397,Magnesium salicylate
